0.0000000000e+00 0.0000000000e+00
8.2682800000e-02 -1.0179118943e-13
1.6536560000e-01 -1.6293215899e-12
2.4804840000e-01 -8.2486153842e-12
3.3073120000e-01 -2.6069396991e-11
4.1341400000e-01 -6.3644677140e-11
4.9609680000e-01 -1.3196997199e-10
5.7877960000e-01 -2.4448285898e-10
6.6146240000e-01 -4.1706161309e-10
7.4414520000e-01 -6.6802403112e-10
8.2682800000e-01 -1.0181264452e-09
9.0951080000e-01 -1.4905617435e-09
9.9219360000e-01 -2.1109578752e-09
1.0748764000e+00 -2.9073760249e-09
1.1575592000e+00 -3.9103084635e-09
1.2402420000e+00 -5.1526760672e-09
1.3229248000e+00 -6.6698261745e-09
1.4056076000e+00 -8.4995300430e-09
1.4882904000e+00 -1.0681979606e-08
1.5709732000e+00 -1.3259784941e-08
1.6536560000e+00 -1.6277970813e-08
1.7363388000e+00 -1.9783973708e-08
1.8190216000e+00 -2.3827637728e-08
1.9017044000e+00 -2.8461211483e-08
1.9843872000e+00 -3.3739343849e-08
2.0670700000e+00 -3.9719080208e-08
2.1497528000e+00 -4.6459857777e-08
2.2324356000e+00 -5.4023501782e-08
2.3151184000e+00 -6.2474220211e-08
2.3978012000e+00 -7.1878599707e-08
2.4804840000e+00 -8.2305600109e-08
2.5631668000e+00 -9.3826549626e-08
2.6458496000e+00 -1.0651513931e-07
2.7285324000e+00 -1.2044741782e-07
2.8112152000e+00 -1.3570178566e-07
2.8938980000e+00 -1.5235898938e-07
2.9765808000e+00 -1.7050211534e-07
3.0592636000e+00 -1.9021658397e-07
3.1419464000e+00 -2.1159014296e-07
3.2246292000e+00 -2.3471286104e-07
3.3073120000e+00 -2.5967712117e-07
3.3899948000e+00 -2.8657761363e-07
3.4726776000e+00 -3.1551132899e-07
3.5553604000e+00 -3.4657755087e-07
3.6380432000e+00 -3.7987784847e-07
3.7207260000e+00 -4.1551606917e-07
3.8034088000e+00 -4.5359833058e-07
3.8860916000e+00 -4.9423301271e-07
3.9687744000e+00 -5.3753074987e-07
4.0514572000e+00 -5.8360442252e-07
4.1341400000e+00 -6.3256914841e-07
4.2168228000e+00 -6.8454227452e-07
4.2995056000e+00 -7.3964336801e-07
4.3821884000e+00 -7.9799420705e-07
4.4648712000e+00 -8.5971877213e-07
4.5475540000e+00 -9.2494323644e-07
4.6302368000e+00 -9.9379595671e-07
4.7129196000e+00 -1.0664074631e-06
4.7956024000e+00 -1.1429104500e-06
4.8782852000e+00 -1.2234397655e-06
4.9609680000e+00 -1.3081324017e-06
5.0436508000e+00 -1.3971274841e-06
5.1263336000e+00 -1.4905662615e-06
5.2090164000e+00 -1.5885920946e-06
5.2916992000e+00 -1.6913504465e-06
5.3743820000e+00 -1.7989888701e-06
5.4570648000e+00 -1.9116569986e-06
5.5397476000e+00 -2.0295065330e-06
5.6224304000e+00 -2.1526912312e-06
5.7051132000e+00 -2.2813668962e-06
5.7877960000e+00 -2.4156913647e-06
5.8704788000e+00 -2.5558244944e-06
5.9531616000e+00 -2.7019281527e-06
6.0358444000e+00 -2.8541662041e-06
6.1185272000e+00 -3.0127044974e-06
6.2012100000e+00 -3.1777108540e-06
6.2838928000e+00 -3.3493550541e-06
6.3665756000e+00 -3.5278088248e-06
6.4492584000e+00 -3.7132458264e-06
6.5319412000e+00 -3.9058416394e-06
6.6146240000e+00 -4.1057737510e-06
6.6973068000e+00 -4.3132215419e-06
6.7799896000e+00 -4.5283662723e-06
6.8626724000e+00 -4.7513910681e-06
6.9453552000e+00 -4.9824809071e-06
7.0280380000e+00 -5.2218226046e-06
7.1107208000e+00 -5.4696047995e-06
7.1934036000e+00 -5.7260179392e-06
7.2760864000e+00 -5.9912542659e-06
7.3587692000e+00 -6.2655078009e-06
7.4414520000e+00 -6.5489743304e-06
7.5241348000e+00 -6.8418513903e-06
7.6068176000e+00 -7.1443382507e-06
7.6895004000e+00 -7.4566359009e-06
7.7721832000e+00 -7.7789470337e-06
7.8548660000e+00 -8.1114760301e-06
7.9375488000e+00 -8.4544289431e-06
8.0202316000e+00 -8.8080134818e-06
8.1029144000e+00 -9.1724389959e-06
8.1855972000e+00 -9.5479164587e-06
8.2682800000e+00 -9.9346584513e-06
8.3509628000e+00 -1.0332879146e-05
8.4336456000e+00 -1.0742794289e-05
8.5163284000e+00 -1.1164621186e-05
8.5990112000e+00 -1.1598578681e-05
8.6816940000e+00 -1.2044887143e-05
8.7643768000e+00 -1.2503768448e-05
8.8470596000e+00 -1.2975445961e-05
8.9297424000e+00 -1.3460144518e-05
9.0124252000e+00 -1.3958090410e-05
9.0951080000e+00 -1.4469511364e-05
9.1777908000e+00 -1.4994636526e-05
9.2604736000e+00 -1.5533696441e-05
9.3431564000e+00 -1.6086923040e-05
9.4258392000e+00 -1.6654549615e-05
9.5085220000e+00 -1.7236810804e-05
9.5912048000e+00 -1.7833942575e-05
9.6738876000e+00 -1.8446182200e-05
9.7565704000e+00 -1.9073768245e-05
9.8392532000e+00 -1.9716940545e-05
9.9219360000e+00 -2.0375940188e-05
1.0004618800e+01 -2.1051009493e-05
1.0087301600e+01 -2.1742391995e-05
1.0169984400e+01 -2.2450332421e-05
1.0252667200e+01 -2.3175076673e-05
1.0335350000e+01 -2.3916871809e-05
1.0418032800e+01 -2.4675966021e-05
1.0500715600e+01 -2.5452608616e-05
1.0583398400e+01 -2.6247049998e-05
1.0666081200e+01 -2.7059541645e-05
1.0748764000e+01 -2.7890336090e-05
1.0831446800e+01 -2.8739686900e-05
1.0914129600e+01 -2.9607848658e-05
