 time_fs              norm                 autocorr             dpx                  dpy                  dpz                  energy              
 0.0000000000000000  1.0000000000000000  1.0000000000000000  0.0000000000000002  0.0000000000000002  0.0000000000000002  -7.2363863106210236 
 0.0100000000000000  1.0000000000002185  1.0000000000001092  0.0000000000146571  0.0000000000146571  0.0000000000146571  -7.2363863106226036 
 0.0200000000000000  1.0000000000004352  1.0000000000002176  0.0000000004025279  0.0000000004025279  0.0000000004025279  -7.2363863106241739 
 0.0300000000000001  1.0000000000006528  1.0000000000003264  0.0000000024144169  0.0000000024144169  0.0000000024144169  -7.2363863106257469 
 0.0400000000000003  1.0000000000008691  1.0000000000004345  0.0000000078528916  0.0000000078528916  0.0000000078528916  -7.2363863106273119 
 0.0500000000000005  1.0000000000010860  1.0000000000005427  0.0000000184385341  0.0000000184385341  0.0000000184385341  -7.2363863106288804 
 0.0600000000000007  1.0000000000013045  1.0000000000006515  0.0000000352554289  0.0000000352554289  0.0000000352554289  -7.2363863106304596 
 0.0700000000000009  1.0000000000015243  1.0000000000007603  0.0000000589084842  0.0000000589084842  0.0000000589084842  -7.2363863106320450 
 0.0800000000000011  1.0000000000017473  1.0000000000008695  0.0000000901355657  0.0000000901355657  0.0000000901355657  -7.2363863106336463 
 0.0900000000000013  1.0000000000019704  1.0000000000009766  0.0000001298673619  0.0000001298673619  0.0000001298673619  -7.2363863106352344 
 0.1000000000000011  1.0000000000021922  1.0000000000010802  0.0000001793704110  0.0000001793704110  0.0000001793704110  -7.2363863106367985 
 0.1100000000000002  1.0000000000024178  1.0000000000011808  0.0000002401681552  0.0000002401681552  0.0000002401681552  -7.2363863106383635 
 0.1199999999999994  1.0000000000026383  1.0000000000012716  0.0000003135372299  0.0000003135372299  0.0000003135372299  -7.2363863106398520 
 0.1299999999999985  1.0000000000028650  1.0000000000013554  0.0000004004022648  0.0000004004022648  0.0000004004022648  -7.2363863106413291 
 0.1399999999999976  1.0000000000030940  1.0000000000014269  0.0000005013420059  0.0000005013420059  0.0000005013420059  -7.2363863106427466 
 0.1499999999999967  1.0000000000033198  1.0000000000014790  0.0000006169644028  0.0000006169644028  0.0000006169644028  -7.2363863106440434 
 0.1599999999999959  1.0000000000035454  1.0000000000015079  0.0000007482886003  0.0000007482886003  0.0000007482886003  -7.2363863106452087 
 0.1699999999999950  1.0000000000037277  1.0000000000014853  0.0000008964243882  0.0000008964243882  0.0000008964243882  -7.2363863106458943 
 0.1799999999999941  1.0000000000039106  1.0000000000014249  0.0000010624905000  0.0000010624905000  0.0000010624905000  -7.2363863106463793 
 0.1899999999999932  1.0000000000041021  1.0000000000013212  0.0000012475322897  0.0000012475322897  0.0000012475322897  -7.2363863106466582 
 0.1999999999999924  1.0000000000043003  1.0000000000011631  0.0000014522476381  0.0000014522476381  0.0000014522476381  -7.2363863106466635 
 0.2099999999999915  1.0000000000045075  1.0000000000009397  0.0000016770993378  0.0000016770993378  0.0000016770993378  -7.2363863106463500 
 0.2199999999999906  1.0000000000047227  1.0000000000006373  0.0000019224230667  0.0000019224230667  0.0000019224230667  -7.2363863106456305 
 0.2299999999999898  1.0000000000049503  1.0000000000002434  0.0000021888470366  0.0000021888470366  0.0000021888470366  -7.2363863106444590 
 0.2399999999999889  1.0000000000051312  0.9999999999997098  0.0000024774905066  0.0000024774905066  0.0000024774905066  -7.2363863106423034 
 0.2499999999999880  1.0000000000053095  0.9999999999990382  0.0000027893079060  0.0000027893079060  0.0000027893079060  -7.2363863106393733 
 0.2599999999999871  1.0000000000055083  0.9999999999982191  0.0000031248240801  0.0000031248240801  0.0000031248240801  -7.2363863106357158 
 0.2699999999999863  1.0000000000056990  0.9999999999972156  0.0000034842526748  0.0000034842526748  0.0000034842526748  -7.2363863106310014 
 0.2799999999999854  1.0000000000058988  0.9999999999960120  0.0000038677245035  0.0000038677245035  0.0000038677245035  -7.2363863106252140 
 0.2899999999999845  1.0000000000060869  0.9999999999945717  0.0000042755977850  0.0000042755977850  0.0000042755977850  -7.2363863106180615 
 0.2999999999999836  1.0000000000062828  0.9999999999928748  0.0000047082616440  0.0000047082616440  0.0000047082616440  -7.2363863106095181 
 0.3099999999999828  1.0000000000064837  0.9999999999908876  0.0000051662030104  0.0000051662030104  0.0000051662030104  -7.2363863105993866 
 0.3199999999999819  1.0000000000066718  0.9999999999885657  0.0000056500897398  0.0000056500897398  0.0000056500897398  -7.2363863105873438 
 0.3299999999999810  1.0000000000068670  0.9999999999858828  0.0000061602280774  0.0000061602280774  0.0000061602280774  -7.2363863105733328 
 0.3399999999999802  1.0000000000070646  0.9999999999828014  0.0000066964217606  0.0000066964217606  0.0000066964217606  -7.2363863105571209 
 0.3499999999999793  1.0000000000072591  0.9999999999792839  0.0000072582224217  0.0000072582224217  0.0000072582224217  -7.2363863105384745 
 0.3599999999999784  1.0000000000074654  0.9999999999752986  0.0000078454460831  0.0000078454460831  0.0000078454460831  -7.2363863105172808 
 0.3699999999999775  1.0000000000076601  0.9999999999707894  0.0000084585330907  0.0000084585330907  0.0000084585330907  -7.2363863104931268 
 0.3799999999999766  1.0000000000078666  0.9999999999657201  0.0000090979018007  0.0000090979018007  0.0000090979018007  -7.2363863104659210 
 0.3899999999999770  1.0000000000080715  0.9999999999600375  0.0000097634964752  0.0000097634964752  0.0000097634964752  -7.2363863104353090 
 0.3999999999999805  1.0000000000082665  0.9999999999536947  0.0000104548745865  0.0000104548745865  0.0000104548745865  -7.2363863104009951 
