nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	32.7757
Total grid length: 	69.643
Total number of grid points: 	696
Distance at last grid point: 	69.7
Imag time prop grid with size: g_load.size() = 1500
  is fit into
Real time prop grid with size: g_prop.size() = 34800
Now I am storing
Norm of orbital: 1.000000e+00
timestep 25200 of 666781, Norm of wave function: 1
timestep 25400 of 666781, Norm of wave function: 1
timestep 25600 of 666781, Norm of wave function: 1
timestep 25800 of 666781, Norm of wave function: 1
timestep 26000 of 666781, Norm of wave function: 1
timestep 26200 of 666781, Norm of wave function: 1
timestep 26400 of 666781, Norm of wave function: 1
timestep 26600 of 666781, Norm of wave function: 1
timestep 26800 of 666781, Norm of wave function: 1
timestep 27000 of 666781, Norm of wave function: 1
timestep 27200 of 666781, Norm of wave function: 1
timestep 27400 of 666781, Norm of wave function: 1
timestep 27600 of 666781, Norm of wave function: 1
timestep 27800 of 666781, Norm of wave function: 1
timestep 28000 of 666781, Norm of wave function: 1
timestep 28200 of 666781, Norm of wave function: 1
timestep 28400 of 666781, Norm of wave function: 1
timestep 28600 of 666781, Norm of wave function: 1
timestep 28800 of 666781, Norm of wave function: 1
timestep 29000 of 666781, Norm of wave function: 1
timestep 29200 of 666781, Norm of wave function: 1
timestep 29400 of 666781, Norm of wave function: 1
timestep 29600 of 666781, Norm of wave function: 1
timestep 29800 of 666781, Norm of wave function: 1
timestep 30000 of 666781, Norm of wave function: 1
timestep 30200 of 666781, Norm of wave function: 1
timestep 30400 of 666781, Norm of wave function: 1
timestep 30600 of 666781, Norm of wave function: 1
timestep 30800 of 666781, Norm of wave function: 1
timestep 31000 of 666781, Norm of wave function: 1
timestep 31200 of 666781, Norm of wave function: 1
timestep 31400 of 666781, Norm of wave function: 1
timestep 31600 of 666781, Norm of wave function: 1
timestep 31800 of 666781, Norm of wave function: 1
timestep 32000 of 666781, Norm of wave function: 1
timestep 32200 of 666781, Norm of wave function: 1
timestep 32400 of 666781, Norm of wave function: 1
timestep 32600 of 666781, Norm of wave function: 1
timestep 32800 of 666781, Norm of wave function: 1
timestep 33000 of 666781, Norm of wave function: 1
timestep 33200 of 666781, Norm of wave function: 1
timestep 33400 of 666781, Norm of wave function: 1
timestep 33600 of 666781, Norm of wave function: 1
timestep 33800 of 666781, Norm of wave function: 1
timestep 34000 of 666781, Norm of wave function: 1
timestep 34200 of 666781, Norm of wave function: 1
timestep 34400 of 666781, Norm of wave function: 1
timestep 34600 of 666781, Norm of wave function: 1
timestep 34800 of 666781, Norm of wave function: 1
timestep 35000 of 666781, Norm of wave function: 1
timestep 35200 of 666781, Norm of wave function: 1
timestep 35400 of 666781, Norm of wave function: 1
timestep 35600 of 666781, Norm of wave function: 1
timestep 35800 of 666781, Norm of wave function: 1
timestep 36000 of 666781, Norm of wave function: 1
timestep 36200 of 666781, Norm of wave function: 1
timestep 36400 of 666781, Norm of wave function: 1
timestep 36600 of 666781, Norm of wave function: 1
timestep 36800 of 666781, Norm of wave function: 1
timestep 37000 of 666781, Norm of wave function: 1
timestep 37200 of 666781, Norm of wave function: 1
timestep 37400 of 666781, Norm of wave function: 1
timestep 37600 of 666781, Norm of wave function: 1
timestep 37800 of 666781, Norm of wave function: 1
timestep 38000 of 666781, Norm of wave function: 1
timestep 38200 of 666781, Norm of wave function: 1
timestep 38400 of 666781, Norm of wave function: 1
timestep 38600 of 666781, Norm of wave function: 1
timestep 38800 of 666781, Norm of wave function: 1
timestep 39000 of 666781, Norm of wave function: 1
timestep 39200 of 666781, Norm of wave function: 1
timestep 39400 of 666781, Norm of wave function: 1
timestep 39600 of 666781, Norm of wave function: 1
timestep 39800 of 666781, Norm of wave function: 1
timestep 40000 of 666781, Norm of wave function: 1
timestep 40200 of 666781, Norm of wave function: 1
timestep 40400 of 666781, Norm of wave function: 1
timestep 40600 of 666781, Norm of wave function: 1
timestep 40800 of 666781, Norm of wave function: 1
timestep 41000 of 666781, Norm of wave function: 1
timestep 41200 of 666781, Norm of wave function: 1
timestep 41400 of 666781, Norm of wave function: 1
timestep 41600 of 666781, Norm of wave function: 1
timestep 41800 of 666781, Norm of wave function: 1
