nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	81.3015
Total number of grid points: 	813
Distance at last grid point: 	81.4
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 40650
Now I am storing
Norm of orbital: 1.000000e+00
timestep 22200 of 666781, Norm of wave function: 0.998639
timestep 22400 of 666781, Norm of wave function: 0.998626
timestep 22600 of 666781, Norm of wave function: 0.998614
timestep 22800 of 666781, Norm of wave function: 0.998602
timestep 23000 of 666781, Norm of wave function: 0.998589
timestep 23200 of 666781, Norm of wave function: 0.998577
timestep 23400 of 666781, Norm of wave function: 0.998565
timestep 23600 of 666781, Norm of wave function: 0.998552
timestep 23800 of 666781, Norm of wave function: 0.99854
timestep 24000 of 666781, Norm of wave function: 0.998528
timestep 24200 of 666781, Norm of wave function: 0.998515
timestep 24400 of 666781, Norm of wave function: 0.998503
timestep 24600 of 666781, Norm of wave function: 0.99849
timestep 24800 of 666781, Norm of wave function: 0.998478
timestep 25000 of 666781, Norm of wave function: 0.998466
timestep 25200 of 666781, Norm of wave function: 0.998453
timestep 25400 of 666781, Norm of wave function: 0.998441
timestep 25600 of 666781, Norm of wave function: 0.998429
timestep 25800 of 666781, Norm of wave function: 0.998416
timestep 26000 of 666781, Norm of wave function: 0.998404
timestep 26200 of 666781, Norm of wave function: 0.998391
timestep 26400 of 666781, Norm of wave function: 0.998379
timestep 26600 of 666781, Norm of wave function: 0.998367
timestep 26800 of 666781, Norm of wave function: 0.998354
timestep 27000 of 666781, Norm of wave function: 0.998342
timestep 27200 of 666781, Norm of wave function: 0.998329
timestep 27400 of 666781, Norm of wave function: 0.998317
timestep 27600 of 666781, Norm of wave function: 0.998304
timestep 27800 of 666781, Norm of wave function: 0.998292
timestep 28000 of 666781, Norm of wave function: 0.99828
timestep 28200 of 666781, Norm of wave function: 0.998267
timestep 28400 of 666781, Norm of wave function: 0.998255
timestep 28600 of 666781, Norm of wave function: 0.998242
timestep 28800 of 666781, Norm of wave function: 0.99823
timestep 29000 of 666781, Norm of wave function: 0.998217
timestep 29200 of 666781, Norm of wave function: 0.998205
timestep 29400 of 666781, Norm of wave function: 0.998192
timestep 29600 of 666781, Norm of wave function: 0.99818
timestep 29800 of 666781, Norm of wave function: 0.998167
timestep 30000 of 666781, Norm of wave function: 0.998155
timestep 30200 of 666781, Norm of wave function: 0.998143
timestep 30400 of 666781, Norm of wave function: 0.99813
timestep 30600 of 666781, Norm of wave function: 0.998118
timestep 30800 of 666781, Norm of wave function: 0.998105
timestep 31000 of 666781, Norm of wave function: 0.998093
