{7.724872909724233*^-10 - 4.010981258519189*^-7*I, 0. + 0.*I, 0. + 0.*I}
{7.575705199937078*^-10 - 3.887868517411097*^-7*I, 0. + 0.*I, 0. + 0.*I}
{7.334232264730157*^-10 - 3.714267452152458*^-7*I, 0. + 0.*I, 0. + 0.*I}
{6.996268210323294*^-10 - 3.4885386152285706*^-7*I, 0. + 0.*I, 0. + 0.*I}
{6.559015135027653*^-10 - 3.2098301274130595*^-7*I, 0. + 0.*I, 0. + 0.*I}
{6.021262920172578*^-10 - 2.878172575248682*^-7*I, 0. + 0.*I, 0. + 0.*I}
{5.383575741868324*^-10 - 2.494564660544064*^-7*I, 0. + 0.*I, 0. + 0.*I}
{4.64845972061061*^-10 - 2.0610466788854321*^-7*I, 0. + 0.*I, 0. + 0.*I}
{3.820505917959741*^-10 - 1.5807588414363749*^-7*I, 0. + 0.*I, 0. + 0.*I}
{2.9065027852256173*^-10 - 1.057981444182731*^-7*I, 0. + 0.*I, 0. + 0.*I}
{1.9155121612107484*^-10 - 4.9815393602615*^-8*I, 0. + 0.*I, 0. + 0.*I}
{8.589030309578056*^-11 + 9.212995421341394*^-9*I, 0. + 0.*I, 0. + 0.*I}
{-2.4966251320673298*^-11 + 7.051536985114492*^-8*I, 0. + 0.*I, 0. + 0.*I}
{-1.394296302535735*^-10 + 1.33213848442537*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-2.5570088190066356*^-10 + 1.9633348818538575*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-3.7178956932047073*^-10 + 2.588147402845363*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-4.855389286819239*^-10 + 3.195293251557358*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-5.946577781684188*^-10 + 3.772996052602299*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-6.96759317698159*^-10 + 4.309214776098885*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-7.894068462105319*^-10 + 4.791907451768496*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-8.701662983817258*^-10 + 5.209328588925657*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-9.366653692074504*^-10 + 5.55035850189741*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-9.866588529745973*^-10 + 5.804861990459055*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-1.0180996752571985*^-9 + 5.964073052632094*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-1.0292149451476292*^-9 + 6.021001524071371*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-1.0185862012724004*^-9 + 5.970856756972575*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-9.852328731212966*^-10 + 5.811482685163161*^-7*I, 0. + 0.*I, 0. + 0.*I}
