nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	79.9977
Total number of grid points: 	799
Distance at last grid point: 	80
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 39950
Now I am storing
Norm of orbital: 1.000000e+00
timestep 11200 of 654686, Norm of wave function: 0.998732
timestep 11300 of 654686, Norm of wave function: 0.998721
timestep 11400 of 654686, Norm of wave function: 0.998709
timestep 11500 of 654686, Norm of wave function: 0.998698
timestep 11600 of 654686, Norm of wave function: 0.998687
timestep 11700 of 654686, Norm of wave function: 0.998675
timestep 11800 of 654686, Norm of wave function: 0.998664
timestep 11900 of 654686, Norm of wave function: 0.998653
timestep 12000 of 654686, Norm of wave function: 0.998642
timestep 12100 of 654686, Norm of wave function: 0.99863
timestep 12200 of 654686, Norm of wave function: 0.998619
timestep 12300 of 654686, Norm of wave function: 0.998608
timestep 12400 of 654686, Norm of wave function: 0.998596
timestep 12500 of 654686, Norm of wave function: 0.998585
timestep 12600 of 654686, Norm of wave function: 0.998574
timestep 12700 of 654686, Norm of wave function: 0.998562
timestep 12800 of 654686, Norm of wave function: 0.998551
timestep 12900 of 654686, Norm of wave function: 0.99854
timestep 13000 of 654686, Norm of wave function: 0.998529
timestep 13100 of 654686, Norm of wave function: 0.998517
timestep 13200 of 654686, Norm of wave function: 0.998506
timestep 13300 of 654686, Norm of wave function: 0.998495
timestep 13400 of 654686, Norm of wave function: 0.998483
timestep 13500 of 654686, Norm of wave function: 0.998472
timestep 13600 of 654686, Norm of wave function: 0.998461
timestep 13700 of 654686, Norm of wave function: 0.998449
timestep 13800 of 654686, Norm of wave function: 0.998438
timestep 13900 of 654686, Norm of wave function: 0.998427
timestep 14000 of 654686, Norm of wave function: 0.998416
timestep 14100 of 654686, Norm of wave function: 0.998404
timestep 14200 of 654686, Norm of wave function: 0.998393
timestep 14300 of 654686, Norm of wave function: 0.998382
timestep 14400 of 654686, Norm of wave function: 0.99837
timestep 14500 of 654686, Norm of wave function: 0.998359
timestep 14600 of 654686, Norm of wave function: 0.998348
timestep 14700 of 654686, Norm of wave function: 0.998336
timestep 14800 of 654686, Norm of wave function: 0.998325
timestep 14900 of 654686, Norm of wave function: 0.998314
timestep 15000 of 654686, Norm of wave function: 0.998302
timestep 15100 of 654686, Norm of wave function: 0.998291
timestep 15200 of 654686, Norm of wave function: 0.99828
timestep 15300 of 654686, Norm of wave function: 0.998268
timestep 15400 of 654686, Norm of wave function: 0.998257
timestep 15500 of 654686, Norm of wave function: 0.998246
timestep 15600 of 654686, Norm of wave function: 0.998235
timestep 15700 of 654686, Norm of wave function: 0.998223
timestep 15800 of 654686, Norm of wave function: 0.998212
timestep 15900 of 654686, Norm of wave function: 0.998201
timestep 16000 of 654686, Norm of wave function: 0.998189
timestep 16100 of 654686, Norm of wave function: 0.998178
timestep 16200 of 654686, Norm of wave function: 0.998167
timestep 16300 of 654686, Norm of wave function: 0.998155
timestep 16400 of 654686, Norm of wave function: 0.998144
timestep 16500 of 654686, Norm of wave function: 0.998133
timestep 16600 of 654686, Norm of wave function: 0.998121
timestep 16700 of 654686, Norm of wave function: 0.99811
timestep 16800 of 654686, Norm of wave function: 0.998099
timestep 16900 of 654686, Norm of wave function: 0.998087
timestep 17000 of 654686, Norm of wave function: 0.998076
timestep 17100 of 654686, Norm of wave function: 0.998065
timestep 17200 of 654686, Norm of wave function: 0.998053
timestep 17300 of 654686, Norm of wave function: 0.998042
timestep 17400 of 654686, Norm of wave function: 0.998031
timestep 17500 of 654686, Norm of wave function: 0.998019
timestep 17600 of 654686, Norm of wave function: 0.998008
timestep 17700 of 654686, Norm of wave function: 0.997997
timestep 17800 of 654686, Norm of wave function: 0.997985
timestep 17900 of 654686, Norm of wave function: 0.997974
timestep 18000 of 654686, Norm of wave function: 0.997963
timestep 18100 of 654686, Norm of wave function: 0.997951
timestep 18200 of 654686, Norm of wave function: 0.99794
timestep 18300 of 654686, Norm of wave function: 0.997929
timestep 18400 of 654686, Norm of wave function: 0.997917
timestep 18500 of 654686, Norm of wave function: 0.997906
timestep 18600 of 654686, Norm of wave function: 0.997895
timestep 18700 of 654686, Norm of wave function: 0.997883
timestep 18800 of 654686, Norm of wave function: 0.997872
timestep 18900 of 654686, Norm of wave function: 0.997861
timestep 19000 of 654686, Norm of wave function: 0.997849
timestep 19100 of 654686, Norm of wave function: 0.997838
